City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,luderitz,-26.6481,15.1594,69.24,39,7,12.95,NA,1668580913
85,altamont,42.2068,-121.7372,31.78,74,0,4.0,US,1668580913
86,pevek,69.7008,170.3133,5.49,87,100,12.3,RU,1668580913
87,clyde river,70.4692,-68.5914,-1.97,65,0,6.91,CA,1668580914
88,marienburg,54.0359,19.0266,42.85,71,98,12.17,PL,1668580726
89,nikolskoye,59.7035,30.7861,30.78,73,100,4.59,RU,1668580914
90,butaritari,3.0707,172.7902,81.32,78,100,13.82,KI,1668580915
91,belaya gora,68.5333,146.4167,-26.25,99,100,1.1,RU,1668580915
92,anori,-3.7728,-61.6442,73.45,99,100,3.6,BR,1668580915
93,manggar,-2.8833,108.2667,84.24,72,100,5.44,ID,1668580916
94,katsuura,35.1333,140.3,59.34,51,1,4.74,JP,1668580916
95,camacha,33.0833,-16.3333,65.62,83,40,6.91,PT,1668580917
96,san patricio,28.017,-97.5169,48.83,57,100,11.54,US,1668580917
97,tigil,57.8,158.6667,21.25,83,100,10.27,RU,1668580917
98,pangnirtung,66.1451,-65.7125,-0.4,90,100,2.55,CA,1668580918
99,plettenberg bay,-34.0527,23.3716,65.95,73,90,6.64,ZA,1668580918
100,maltahohe,-24.8333,16.9833,71.02,19,0,11.56,NA,1668580919
101,raudeberg,61.9875,5.1352,50.86,40,65,13.67,NO,1668580919
102,alice springs,-23.7,133.8833,56.75,94,100,8.05,AU,1668580919
103,san carlos de bariloche,-41.1456,-71.3082,53.35,66,20,18.41,AR,1668580825
104,northam,51.0333,-4.2167,47.25,97,100,18.14,GB,1668580920
105,cap malheureux,-19.9842,57.6142,72.95,63,81,9.62,MU,1668580921
106,port hedland,-20.3167,118.5667,75.25,94,75,9.22,AU,1668580921
107,tuktoyaktuk,69.4541,-133.0374,-0.4,85,40,5.75,CA,1668580922
108,kiunga,-6.1219,141.2906,83.95,79,88,3.98,PG,1668580922
109,bonavista,48.6499,-53.1147,33.06,76,97,16.89,CA,1668580923
110,bengkulu,-3.8004,102.2655,85.15,69,28,19.53,ID,1668580923
111,kangaatsiaq,68.3065,-53.4641,25.07,72,100,11.03,GL,1668580924
112,wattegama,6.7989,81.4808,85.37,63,100,3.2,LK,1668580924
113,black river,18.0264,-77.8487,75.34,87,11,5.79,JM,1668580925
114,poddorye,57.4695,31.1156,29.57,79,100,7.25,RU,1668580925
115,zuwarah,32.9312,12.082,64.24,40,0,13.53,LY,1668580925
116,carnarvon,-24.8667,113.6333,72.73,69,0,25.12,AU,1668580926
117,esperance,-33.8667,121.9,74.01,45,41,17.0,AU,1668580926
118,corrente,-3.7367,-43.3394,70.18,96,65,2.28,BR,1668580927
119,nilokheri,29.8333,76.9167,78.96,28,0,8.25,IN,1668580927
120,senneterre,48.3835,-77.2328,22.46,76,100,5.61,CA,1668580928
121,san andres del rabanedo,42.6117,-5.6167,48.76,100,100,8.05,ES,1668580928
122,khorramshahr,30.4397,48.1664,75.16,57,40,4.61,IR,1668580929
123,coihaique,-45.5752,-72.0662,45.21,93,75,3.44,CL,1668580929
124,bambous virieux,-20.3428,57.7575,77.25,57,40,5.75,MU,1668580929
125,east london,-33.0153,27.9116,68.94,68,20,12.66,ZA,1668580657
126,husavik,66.0449,-17.3389,42.15,93,98,8.3,IS,1668580930
127,pacific grove,36.6177,-121.9166,58.08,61,0,6.91,US,1668580740
128,khandagayty,50.7333,92.05,23.88,78,45,2.06,RU,1668580931
129,comodoro rivadavia,-45.8667,-67.5,58.86,41,0,13.8,AR,1668580887
130,georgetown,5.4112,100.3354,87.75,78,20,7.0,MY,1668580931
131,abu samrah,35.3029,37.1841,59.67,74,33,7.16,SY,1668580932
132,madaoua,14.073,5.96,69.96,23,10,8.77,NE,1668580932
133,kungurtug,50.5994,97.5228,32.59,50,63,2.89,RU,1668580932
134,pauini,-7.7136,-66.9764,71.51,99,100,2.71,BR,1668580933
135,lavrentiya,65.5833,-171.0,31.82,94,100,25.84,RU,1668580933
136,abnub,27.2696,31.1511,57.42,45,92,6.51,EG,1668580934
137,san quintin,30.4833,-115.95,59.27,68,0,5.44,MX,1668580934
138,souillac,-20.5167,57.5167,77.38,57,40,5.75,MU,1668580935
139,flin flon,54.7682,-101.865,17.44,96,100,5.41,CA,1668580935
140,belyy yar,53.6039,91.3903,44.85,45,0,22.37,RU,1668580936
141,ostersund,63.1792,14.6357,28.62,100,100,6.91,SE,1668580936
142,sangar,63.9242,127.4739,-32.91,97,23,4.65,RU,1668580937
143,salalah,17.0151,54.0924,82.49,57,0,2.3,OM,1668580799
144,upernavik,72.7868,-56.1549,17.47,75,100,2.42,GL,1668580937
145,mount isa,-20.7333,139.5,91.17,18,40,14.97,AU,1668580938
146,sudbury,46.49,-80.99,25.05,90,100,10.0,CA,1668580938
147,arraial do cabo,-22.9661,-42.0278,72.34,91,100,12.57,BR,1668580938
148,sioux lookout,50.1001,-91.917,19.47,93,100,2.3,CA,1668580939
149,rawson,-43.3002,-65.1023,65.14,51,54,7.61,AR,1668580939
150,tevriz,57.509,72.4042,11.93,88,100,7.09,RU,1668580940
151,vardo,70.3705,31.1107,39.18,87,75,13.8,NO,1668580940
152,new norfolk,-42.7826,147.0587,53.1,58,87,3.0,AU,1668580941
153,matay,28.419,30.7792,65.39,46,0,3.15,EG,1668580941
154,kenai,60.5544,-151.2583,29.14,98,0,5.75,US,1668580941
155,lieksa,63.3167,30.0167,31.93,83,95,9.17,FI,1668580942
156,sosua,19.7667,-70.5167,76.23,94,75,0.0,DO,1668580943
157,nanortalik,60.1432,-45.2371,23.07,86,100,15.95,GL,1668580943
158,kaitangata,-46.2817,169.8464,55.08,95,100,3.6,NZ,1668580943
159,bambanglipuro,-7.95,110.2833,81.23,79,100,4.85,ID,1668580944
160,koppang,61.5706,11.0555,33.3,77,100,5.84,NO,1668580944
161,murgab,37.4966,61.9714,51.67,62,0,0.0,TM,1668580945
162,perisoru,44.45,27.55,45.82,93,100,8.75,RO,1668580945
163,padang,-0.9492,100.3543,75.25,95,100,6.71,ID,1668580946
164,salekhard,66.53,66.6019,-5.21,86,35,6.62,RU,1668580946
165,inhambane,-23.865,35.3833,78.78,61,20,6.91,MZ,1668580946
166,goundam,16.4145,-3.6708,76.48,13,100,8.39,ML,1668580771
167,turukhansk,65.8167,87.9833,-19.21,89,5,5.12,RU,1668580947
168,saldanha,-33.0117,17.9442,64.45,76,91,10.85,ZA,1668580947
169,antalaha,-14.9003,50.2788,79.25,70,31,9.37,MG,1668580948
170,ngama,11.7833,17.1667,79.29,20,8,14.18,TD,1668580948
171,barrow,71.2906,-156.7887,19.42,73,40,20.71,US,1668580949
172,kijang,35.2442,129.2139,64.13,37,5,7.96,KR,1668580949
